Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0018, AKAZE, BRISK, 8.67077, 8.53557

0000, AKAZE, BRIEF, 
0001, AKAZE, BRIEF, 12.2744, 12.2891
0002, AKAZE, BRIEF, 12.8623, 13.3547
0003, AKAZE, BRIEF, 12.6868, 16.3845
0004, AKAZE, BRIEF, 12.9322, 14.0764
0005, AKAZE, BRIEF, 14.0342, 12.7299
0006, AKAZE, BRIEF, 12.2125, 13.7511
0007, AKAZE, BRIEF, 15.5461, 13.7314
0008, AKAZE, BRIEF, 13.485, 13.7901
0009, AKAZE, BRIEF, 11.7805, 12.059
0010, AKAZE, BRIEF, 11.3197, 11.8642
0011, AKAZE, BRIEF, 12.121, 11.9682
0012, AKAZE, BRIEF, 10.6918, 9.88711
0013, AKAZE, BRIEF, 11.5785, 9.42504
0014, AKAZE, BRIEF, 10.5035, 9.30215
0015, AKAZE, BRIEF, 9.38497, 8.3212
0016, AKAZE, BRIEF, 10.1629, 8.89867
0017, AKAZE, BRIEF, 9.13136, 11.0301
0018, AKAZE, BRIEF, 8.61125, 8.53557

0000, AKAZE, ORB, 
0001, AKAZE, ORB, 10.9286, 12.2891
0002, AKAZE, ORB, 12.8511, 13.3547
0003, AKAZE, ORB, 13.238, 16.3845
0004, AKAZE, ORB, 14.3594, 14.0764
0005, AKAZE, ORB, 12.7107, 12.7299
0006, AKAZE, ORB, 12.655, 13.7511
0007, AKAZE, ORB, 14.6159, 13.7314
0008, AKAZE, ORB, 13.9035, 13.7901
0009, AKAZE, ORB, 10.6074, 12.059
0010, AKAZE, ORB, 10.6592, 11.8642
0011, AKAZE, ORB, 13.6597, 11.9682
0012, AKAZE, ORB, 9.75229, 9.88711
0013, AKAZE, ORB, 11.4596, 9.42504
0014, AKAZE, ORB, 10.7648, 9.30215
0015, AKAZE, ORB, 9.54446, 8.3212
0016, AKAZE, ORB, 10.8526, 8.89867
0017, AKAZE, ORB, 9.52042, 11.0301
0018, AKAZE, ORB, 9.91548, 8.53557

0000, AKAZE, FREAK, 
0001, AKAZE, FREAK, 11.4796, 12.2891
0002, AKAZE, FREAK, 12.1967, 13.3547
0003, AKAZE, FREAK, 12.7997, 16.3845
0004, AKAZE, FREAK, 13.3031, 14.0764
0005, AKAZE, FREAK, 14.2426, 12.7299
0006, AKAZE, FREAK, 13.4991, 13.7511
0007, AKAZE, FREAK, 16.0305, 13.7314
0008, AKAZE, FREAK, 12.8325, 13.7901
0009, AKAZE, FREAK, 11.7199, 12.059
0010, AKAZE, FREAK, 11.0019, 11.8642
0011, AKAZE, FREAK, 11.9808, 11.9682
0012, AKAZE, FREAK, 10.8577, 9.88711
0013, AKAZE, FREAK, 12.4116, 9.42504
0014, AKAZE, FREAK, 10.272, 9.30215
0015, AKAZE, FREAK, 9.90787, 8.3212
0016, AKAZE, FREAK, 10.1462, 8.89867
0017, AKAZE, FREAK, 9.65304, 11.0301
0018, AKAZE, FREAK, 9.00608, 8.53557

